iter	RMSE
193	0.1212272469
194	0.121129731
195	0.1210702782
196	0.1210372587
197	0.1209719714
198	0.1208498183
199	0.1207541408
200	0.1207005694
201	0.1205068338
202	0.1204762505
203	0.1203961533
204	0.1202250254
205	0.120201854
206	0.1201579517
207	0.1201361693
208	0.1200353871
209	0.1200085786
210	0.119670375
211	0.1195073002
212	0.1194452729
213	0.1193298723
214	0.1192431768
215	0.1192388645
216	0.1192302648
217	0.1191743862
218	0.1190149899
219	0.1189569591
220	0.1188931078
221	0.1187982452
222	0.1187840913
223	0.1186471239
224	0.1186363484
225	0.1185468914
226	0.1183886735
227	0.1182526976
228	0.1181599255
229	0.1181446939
230	0.1180681599
231	0.1178957571
232	0.1176925326
233	0.1174576127
234	0.1174345452
235	0.117198732
236	0.1171437438
237	0.1170934919
238	0.1169622962
239	0.1167159363
240	0.1166532272
241	0.1166142514
242	0.1165759287
243	0.116522802
244	0.116461606
245	0.1164046332
246	0.1163151327
247	0.1162490797
248	0.1161740477
249	0.1161206031
250	0.1159419319
251	0.115865454
252	0.1157168256
253	0.1156917723
254	0.1156115413
255	0.1155287639
256	0.1154594723
257	0.1153889379
258	0.1151093081
259	0.1150053708
260	0.1148512404
261	0.1147190493
262	0.1144641132
263	0.1144603407
264	0.114351225
265	0.1142264395
266	0.1140719005
267	0.1140213794
268	0.1139820206
269	0.1139585444
270	0.1138286729
271	0.1137091077
272	0.1131917579
273	0.1131848285
274	0.1130012015
275	0.1128585812
276	0.1127488116
277	0.1125959261
278	0.1125517493
279	0.112507553
280	0.1124281109
281	0.1123223433
282	0.1122357365
283	0.1121933501
284	0.1121601905
285	0.1120817727
286	0.1120012737
287	0.1118821593
288	0.111802299
289	0.1117376261
290	0.1116931488
291	0.1115660434
292	0.1115356918
293	0.1114742571
294	0.1114556833
295	0.1114341681
296	0.1113666182
297	0.1112497885
298	0.1110220135
299	0.1109144781
300	0.1106668223
301	0.1104620892
302	0.1104137439
303	0.1103731338
304	0.1100971951
305	0.1100111567
306	0.1099631668
307	0.1098739515
308	0.109801256
309	0.1097757962
310	0.1097633859
311	0.1097504905
312	0.1096851427
313	0.1095471182
314	0.1094842164
315	0.1094540692
316	0.1094182056
317	0.1093126443
318	0.1092722921
319	0.1092051237
320	0.108975373
321	0.1088419077
322	0.1086757018
323	0.1083912212
